조건,판재두께_mm,용접선,시편회전_도,판사이각도_도,판정,웨이포인트_개수,경로길이_mm,용접선IoU_퍼센트,라벨대비편차_mm,경로덮임_퍼센트,경로최대이탈_mm,경로판정,해양대교선과의거리_mm,평균확률,유효구간비율,추론용접점_개수,점흩어짐90_mm,접촉5mm라벨_개수,해양대3mm밴드_개수,수동라벨_있음
WELD_D04_L1_A000,4,L1,0,88.71,정상,11,292.9,96.48,2.02,100.0,1.6,양호,2.85,0.987,1.000,1242,3.52,1445,513,있음
WELD_D04_L1_A010,4,L1,10,88.87,정상,10,297.2,94.44,2.27,100.0,1.6,양호,2.51,0.980,1.000,1409,4.15,1634,626,있음
WELD_D04_L1_A020,4,L1,20,89.23,정상,10,291.5,95.49,2.31,100.0,1.8,양호,2.58,0.983,1.000,1378,4.17,1684,726,있음
WELD_D04_L1_A030,4,L1,30,88.53,정상,12,293.4,92.42,2.67,100.0,4.2,양호,2.98,0.972,1.000,1290,4.65,1514,458,있음
WELD_D04_L1_A040,4,L1,40,88.36,정상,12,286.3,93.07,2.34,100.0,1.7,양호,3.21,0.972,1.000,1251,4.26,1457,467,있음
WELD_D04_L1_A050,4,L1,50,88.26,정상,12,288.3,90.71,2.37,100.0,1.8,양호,3.80,0.964,1.000,1097,4.49,1213,457,있음
WELD_D04_L1_A130,4,L1,130,89.09,정상,11,295.0,92.76,2.27,100.0,2.0,양호,3.56,0.969,1.000,1276,4.20,1476,278,있음
WELD_D04_L1_A140,4,L1,140,88.70,정상,11,289.7,93.50,2.34,100.0,2.1,양호,3.42,0.972,1.000,1387,4.38,1599,370,있음
WELD_D04_L1_A150,4,L1,150,88.75,정상,12,295.2,92.19,2.32,100.0,1.9,양호,3.43,0.969,1.000,1338,4.37,1504,356,있음
WELD_D04_L1_A160,4,L1,160,88.54,정상,10,293.7,93.38,2.32,100.0,1.7,양호,3.62,0.973,1.000,1385,4.33,1614,445,있음
WELD_D04_L1_A170,4,L1,170,88.63,정상,14,294.3,95.28,2.30,100.0,1.6,양호,3.14,0.978,1.000,1404,4.18,1605,596,있음
WELD_D04_L2_A000,4,L2,0,89.86,정상,11,294.8,94.87,2.08,100.0,1.6,양호,2.54,0.977,1.000,1303,3.77,1501,621,있음
WELD_D04_L2_A010,4,L2,10,89.81,정상,10,295.6,94.84,2.31,100.0,1.5,양호,2.69,0.979,1.000,1399,4.26,1634,646,있음
WELD_D04_L2_A020,4,L2,20,89.66,정상,11,296.7,94.25,2.35,100.0,1.9,양호,2.66,0.982,1.000,1423,4.29,1697,777,있음
WELD_D04_L2_A030,4,L2,30,88.90,정상,11,293.0,93.11,2.35,100.0,1.8,양호,2.67,0.975,1.000,1298,4.35,1476,559,있음
WELD_D04_L2_A040,4,L2,40,88.98,정상,11,294.1,91.70,2.34,100.0,1.8,양호,3.04,0.971,1.000,1241,4.21,1475,500,있음
WELD_D04_L2_A050,4,L2,50,88.94,정상,12,282.3,90.00,2.50,100.0,1.7,양호,3.19,0.965,0.983,1138,4.47,1318,465,있음
WELD_D04_L2_A130,4,L2,130,88.59,정상,11,294.7,92.29,2.31,100.0,1.6,양호,3.10,0.970,1.000,1334,4.40,1510,446,있음
WELD_D04_L2_A140,4,L2,140,88.85,정상,11,297.4,92.95,2.32,100.0,1.7,양호,2.98,0.967,1.000,1309,4.22,1598,543,있음
WELD_D04_L2_A150,4,L2,150,88.93,정상,11,294.6,93.42,2.32,100.0,1.6,양호,3.10,0.968,1.000,1308,4.29,1522,493,있음
WELD_D04_L2_A160,4,L2,160,89.36,정상,10,297.6,94.07,2.38,100.0,1.7,양호,2.74,0.971,1.000,1409,4.32,1652,595,있음
WELD_D04_L2_A170,4,L2,170,89.59,정상,13,296.3,93.50,2.29,100.0,1.7,양호,2.45,0.969,1.000,1392,4.20,1621,732,있음
WELD_D08_L1_A000,8,L1,0,86.89,정상,17,291.0,79.12,2.18,100.0,2.1,양호,7.52,0.922,1.000,483,3.66,355,13,없음
WELD_D08_L1_A010,8,L1,10,86.96,정상,25,295.2,78.92,2.00,100.0,2.4,양호,6.31,0.944,0.983,545,3.95,305,34,있음
WELD_D08_L1_A020,8,L1,20,83.08,정상,18,296.4,78.93,2.08,100.0,2.1,양호,5.43,0.935,0.983,505,4.27,333,63,있음
WELD_D08_L1_A030,8,L1,30,78.97,정상,20,297.4,75.99,2.32,100.0,4.3,양호,4.08,0.936,1.000,507,4.31,338,90,있음
WELD_D08_L1_A040,8,L1,40,83.24,정상,17,291.9,80.66,2.14,100.0,2.1,양호,5.93,0.935,1.000,540,4.62,336,3,있음
WELD_D08_L1_A050,8,L1,50,85.03,정상,19,291.7,77.64,2.18,100.0,3.0,양호,6.08,0.920,0.984,525,4.56,303,32,있음
WELD_D08_L1_A130,8,L1,130,84.36,정상,21,298.6,80.14,2.08,99.8,4.4,양호,8.09,0.920,0.967,527,4.35,312,3,있음
WELD_D08_L1_A140,8,L1,140,82.92,정상,19,296.2,81.03,2.16,100.0,2.2,양호,5.77,0.931,1.000,527,4.25,351,60,있음
WELD_D08_L1_A150,8,L1,150,84.51,정상,18,295.3,74.35,2.25,100.0,2.3,양호,6.88,0.917,1.000,531,4.93,346,8,있음
WELD_D08_L1_A160,8,L1,160,84.45,정상,20,295.9,83.55,2.21,100.0,2.0,양호,6.37,0.936,1.000,511,4.17,379,29,있음
