condition,seq,x_raw_mm,y_raw_mm,z_raw_mm,x_cam_mm,y_cam_mm,z_cam_mm,x_local_mm,y_local_mm,z_local_mm,status
WELD_D04_L1_A000,0,138.527,-3.803,-406.658,138.527,3.803,406.658,0.0,0.0,0.0,정상
WELD_D04_L1_A000,1,123.405,-4.248,-405.892,123.405,4.248,405.892,15.13,0.367,-0.621,정상
WELD_D04_L1_A000,2,98.538,-3.266,-405.004,98.538,3.266,405.004,40.025,0.387,0.012,정상
WELD_D04_L1_A000,3,44.32,-3.74,-404.515,44.32,3.74,404.515,94.219,-0.678,-1.384,정상
WELD_D04_L1_A000,4,-4.92,-2.23,-402.429,-4.92,2.23,402.429,143.517,-0.258,-0.523,정상
WELD_D04_L1_A000,5,-45.834,-2.712,-399.075,-45.834,2.712,399.075,184.506,1.915,-1.328,정상
WELD_D04_L1_A000,6,-55.089,-1.719,-398.728,-55.089,1.719,398.728,193.78,1.86,-0.468,정상
WELD_D04_L1_A000,7,-84.386,-0.991,-398.573,-84.386,0.991,398.573,223.074,1.054,-0.259,정상
WELD_D04_L1_A000,8,-104.364,-1.432,-397.066,-104.364,1.432,397.066,243.081,2.011,-0.873,정상
WELD_D04_L1_A000,9,-119.951,-0.894,-396.081,-119.951,0.894,396.081,258.698,2.459,-0.5,정상
WELD_D04_L1_A000,10,-129.218,-0.214,-395.934,-129.218,0.214,395.934,267.974,2.245,0.024,정상
WELD_D04_L1_A000,11,-153.698,0.222,-397.41,-153.698,-0.222,397.41,292.398,-0.0,-0.172,정상
WELD_D04_L1_A010,0,-155.78,-20.488,-372.781,-155.78,20.488,372.781,0.0,0.0,0.0,정상
WELD_D04_L1_A010,1,-121.75,-15.886,-378.29,-121.75,15.886,378.29,34.746,-1.37,-0.626,정상
WELD_D04_L1_A010,2,-79.096,-10.392,-388.572,-79.096,10.392,388.572,78.941,0.073,-0.37,정상
WELD_D04_L1_A010,3,-64.125,-7.867,-391.167,-64.125,7.867,391.167,94.327,-0.581,-0.129,정상
WELD_D04_L1_A010,4,-39.979,-5.103,-396.26,-39.979,5.103,396.26,119.153,-0.278,-0.573,정상
WELD_D04_L1_A010,5,23.344,4.601,-407.605,23.344,-4.601,407.605,184.18,-2.309,-0.293,정상
WELD_D04_L1_A010,6,66.176,9.579,-417.364,66.176,-9.579,417.364,228.373,-1.15,-0.737,정상
WELD_D04_L1_A010,7,105.763,15.91,-424.534,105.763,-15.91,424.534,269.076,-2.458,-0.294,정상
WELD_D04_L1_A010,8,120.107,17.916,-428.062,120.107,-17.916,428.062,283.973,-1.975,-0.038,정상
WELD_D04_L1_A010,9,132.926,18.636,-432.436,132.926,-18.636,432.436,297.39,-0.0,-0.311,정상
WELD_D04_L1_A020,0,124.65,22.765,-433.593,124.65,-22.765,433.593,0.0,0.0,0.0,정상
WELD_D04_L1_A020,1,106.577,19.295,-427.127,106.577,-19.295,427.127,19.454,1.387,0.302,정상
WELD_D04_L1_A020,2,82.825,14.476,-421.719,82.825,-14.476,421.719,44.249,0.222,1.003,정상
WELD_D04_L1_A020,3,63.757,9.849,-416.044,63.757,-9.849,416.044,64.671,0.369,0.61,정상
WELD_D04_L1_A020,4,31.801,2.92,-404.745,31.801,-2.92,404.745,99.2,2.505,0.414,정상
WELD_D04_L1_A020,5,3.938,-2.935,-398.244,3.938,2.935,398.244,128.37,1.238,1.018,정상
WELD_D04_L1_A020,6,-57.512,-17.335,-382.025,-57.512,17.335,382.025,193.52,-0.127,0.605,정상
WELD_D04_L1_A020,7,-84.94,-22.885,-373.734,-84.94,22.885,373.734,222.696,0.469,1.064,정상
WELD_D04_L1_A020,8,-130.801,-33.986,-360.087,-130.801,33.986,360.087,271.805,0.827,0.144,정상
WELD_D04_L1_A020,9,-149.285,-38.197,-355.678,-149.285,38.197,355.678,291.252,0.0,0.218,정상
WELD_D04_L1_A030,0,127.123,66.781,-457.732,127.123,-66.781,457.732,0.0,0.0,0.0,정상
WELD_D04_L1_A030,1,123.892,63.505,-459.073,123.892,-63.505,459.073,3.506,3.261,-0.204,정상
WELD_D04_L1_A030,2,109.683,52.061,-459.591,109.683,-52.061,459.591,19.76,11.563,-0.362,정상
WELD_D04_L1_A030,3,75.95,37.576,-443.602,75.95,-37.576,443.602,59.769,9.935,-0.529,정상
WELD_D04_L1_A030,4,43.195,22.681,-425.941,43.195,-22.681,425.941,99.732,7.215,0.954,정상
WELD_D04_L1_A030,5,5.733,6.205,-408.756,5.733,-6.205,408.756,144.105,6.095,0.741,정상
WELD_D04_L1_A030,6,-15.227,-1.753,-398.554,-15.227,1.753,398.554,168.656,4.223,0.07,정상
WELD_D04_L1_A030,7,-40.027,-13.319,-385.258,-40.027,13.319,385.258,198.999,2.403,1.349,정상
WELD_D04_L1_A030,8,-61.53,-21.868,-375.532,-61.53,21.868,375.532,224.062,1.298,0.544,정상
WELD_D04_L1_A030,9,-77.465,-28.773,-367.083,-77.465,28.773,367.083,243.318,-0.128,0.963,정상
WELD_D04_L1_A030,10,-104.075,-39.536,-355.636,-104.075,39.536,355.636,274.187,-0.922,-0.21,정상
WELD_D04_L1_A030,11,-117.632,-44.887,-351.618,-117.632,44.887,351.618,289.192,0.0,-1.819,정상
WELD_D04_L1_A040,0,-121.722,-60.006,-333.716,-121.722,60.006,333.716,0.0,0.0,0.0,정상
WELD_D04_L1_A040,1,-110.232,-53.38,-340.376,-110.232,53.38,340.376,14.793,-0.905,-0.796,정상
WELD_D04_L1_A040,2,-84.966,-37.073,-357.023,-84.966,37.073,357.023,49.151,-1.852,-0.936,정상
WELD_D04_L1_A040,3,-61.113,-21.625,-375.52,-61.113,21.625,375.52,83.027,-0.392,-0.714,정상
WELD_D04_L1_A040,4,-38.156,-7.765,-390.19,-38.156,7.765,390.19,113.567,-1.276,-1.655,정상
WELD_D04_L1_A040,5,-25.058,1.093,-400.952,-25.058,-1.093,400.952,132.652,-0.102,-1.166,정상
WELD_D04_L1_A040,6,-6.85,12.306,-414.48,-6.85,-12.306,414.48,157.939,0.73,-1.525,정상
WELD_D04_L1_A040,7,15.016,26.117,-427.936,15.016,-26.117,427.936,187.049,-0.786,-1.993,정상
WELD_D04_L1_A040,8,39.293,42.932,-446.456,39.293,-42.932,446.456,221.882,0.019,-0.932,정상
WELD_D04_L1_A040,9,56.006,54.9,-457.674,56.006,-54.9,457.674,245.267,-0.884,-0.061,정상
WELD_D04_L1_A040,10,74.861,66.744,-470.646,74.861,-66.744,470.646,271.034,-0.997,-0.363,정상
WELD_D04_L1_A040,11,85.399,73.013,-478.981,85.399,-73.013,478.981,285.823,0.0,-0.689,정상
WELD_D04_L1_A050,0,-108.147,-60.709,-332.181,-108.147,60.709,332.181,0.0,0.0,0.0,정상
WELD_D04_L1_A050,1,-97.308,-52.112,-340.119,-97.308,52.112,340.119,15.862,1.648,-0.301,정상
WELD_D04_L1_A050,2,-85.294,-42.965,-351.28,-85.294,42.965,351.28,34.605,1.929,0.775,정상
WELD_D04_L1_A050,3,-72.915,-31.527,-362.421,-72.915,31.527,362.421,54.793,2.237,0.035,정상
WELD_D04_L1_A050,4,-43.407,-5.362,-392.389,-43.407,5.362,392.389,104.299,0.801,0.765,정상
WELD_D04_L1_A050,5,-12.03,21.048,-420.152,-12.03,-21.048,420.152,153.805,2.188,0.829,정상
WELD_D04_L1_A050,6,3.285,35.758,-435.108,3.285,-35.758,435.108,179.761,1.718,-0.013,정상
WELD_D04_L1_A050,7,12.307,43.879,-444.58,12.307,-43.879,444.58,195.141,1.058,0.251,정상
WELD_D04_L1_A050,8,30.566,59.635,-460.429,30.566,-59.635,460.429,223.98,2.029,-0.177,정상
WELD_D04_L1_A050,9,54.405,80.794,-484.443,54.405,-80.794,484.443,263.873,0.998,0.305,정상
WELD_D04_L1_A050,10,59.538,86.221,-489.744,59.538,-86.221,489.744,273.006,0.591,-0.259,정상
WELD_D04_L1_A050,11,68.487,93.591,-499.158,68.487,-93.591,499.158,287.905,-0.0,0.585,정상
WELD_D04_L1_A130,0,99.894,-84.724,-323.428,99.894,84.724,323.428,0.0,0.0,0.0,정상
WELD_D04_L1_A130,1,89.638,-75.897,-329.537,89.638,75.897,329.537,14.747,-1.655,-0.438,정상
WELD_D04_L1_A130,2,80.216,-67.71,-337.405,80.216,67.71,337.405,29.494,-1.269,-0.708,정상
WELD_D04_L1_A130,3,59.899,-51.353,-352.215,59.899,51.353,352.215,59.48,-1.955,-0.439,정상
WELD_D04_L1_A130,4,-1.7,-0.337,-400.451,-1.7,0.337,400.451,152.88,-1.539,-0.476,정상
WELD_D04_L1_A130,5,-17.197,12.991,-414.17,-17.197,-12.991,414.17,177.459,-0.203,-0.744,정상
WELD_D04_L1_A130,6,-34.044,26.22,-425.29,-34.044,-26.22,425.29,201.546,-1.68,-0.353,정상
WELD_D04_L1_A130,7,-53.458,42.661,-441.178,-53.458,-42.661,441.178,231.532,-1.054,-0.596,정상
WELD_D04_L1_A130,8,-70.064,56.406,-453.019,-70.064,-56.406,453.019,256.111,-1.933,-0.699,정상
WELD_D04_L1_A130,9,-83.808,66.48,-463.843,-83.808,-66.48,463.843,276.266,-1.464,0.345,정상
WELD_D04_L1_A130,10,-94.627,76.805,-474.339,-94.627,-76.805,474.339,294.454,0.0,-0.579,정상
WELD_D04_L1_A140,0,108.805,-73.786,-334.252,108.805,73.786,334.252,0.0,0.0,0.0,정상
WELD_D04_L1_A140,1,88.302,-63.017,-344.137,88.302,63.017,344.137,25.113,-1.801,-0.382,정상
WELD_D04_L1_A140,2,77.057,-55.634,-349.585,77.057,55.634,349.585,39.601,-1.667,-1.235,정상
WELD_D04_L1_A140,3,53.84,-41.542,-363.328,53.84,41.542,363.328,70.025,-1.631,-0.307,정상
WELD_D04_L1_A140,4,26.653,-25.277,-377.675,26.653,25.277,377.675,104.797,-2.207,-0.632,정상
WELD_D04_L1_A140,5,11.728,-16.086,-386.93,11.728,16.086,386.93,124.596,-1.979,0.271,정상
WELD_D04_L1_A140,6,-7.242,-3.263,-397.289,-7.242,3.263,397.289,149.708,-1.181,-0.319,정상
WELD_D04_L1_A140,7,-30.658,10.696,-409.685,-30.658,-10.696,409.685,179.65,-1.706,-0.543,정상
WELD_D04_L1_A140,8,-49.845,22.055,-421.291,-49.845,-22.055,421.291,204.762,-1.829,0.57,정상
WELD_D04_L1_A140,9,-99.499,54.226,-447.57,-99.499,-54.226,447.57,269.474,-1.004,-1.071,정상
WELD_D04_L1_A140,10,-113.989,64.079,-456.871,-113.989,-64.079,456.871,289.274,-0.0,-0.341,정상
WELD_D04_L1_A150,0,-125.513,72.034,-467.55,-125.513,-72.034,467.55,0.0,0.0,0.0,정상
WELD_D04_L1_A150,1,-94.111,54.899,-451.098,-94.111,-54.899,451.098,39.361,0.961,-0.498,정상
WELD_D04_L1_A150,2,-75.371,42.931,-440.415,-75.371,-42.931,440.415,63.962,2.492,0.481,정상
WELD_D04_L1_A150,3,-47.616,28.213,-427.526,-47.616,-28.213,427.526,97.912,1.861,0.18,정상
WELD_D04_L1_A150,4,7.17,-3.107,-399.884,7.17,3.107,399.884,166.796,2.791,0.911,정상
WELD_D04_L1_A150,5,51.4,-26.031,-378.695,51.4,26.031,378.695,220.919,2.283,-0.245,정상
WELD_D04_L1_A150,6,71.668,-37.343,-369.148,71.668,37.343,369.148,246.013,2.007,-0.006,정상
WELD_D04_L1_A150,7,87.175,-45.938,-360.556,87.175,45.938,360.556,265.693,2.901,-0.279,정상
WELD_D04_L1_A150,8,99.519,-52.286,-355.46,99.519,52.286,355.46,280.455,2.047,-0.39,정상
WELD_D04_L1_A150,9,111.66,-59.307,-351.951,111.66,59.307,351.951,294.728,-0.0,0.663,정상
WELD_D04_L1_A160,0,-142.963,43.234,-437.219,-142.963,-43.234,437.219,0.0,0.0,0.0,정상
WELD_D04_L1_A160,1,-124.522,37.97,-430.906,-124.522,-37.97,430.906,20.089,1.926,-0.591,정상
WELD_D04_L1_A160,2,-107.004,31.884,-426.217,-107.004,-31.884,426.217,39.19,2.647,0.137,정상
WELD_D04_L1_A160,3,-88.231,26.474,-421.58,-88.231,-26.474,421.58,59.268,2.903,-0.066,정상
WELD_D04_L1_A160,4,-41.81,12.61,-411.638,-41.81,-12.61,411.638,108.718,2.141,0.193,정상
WELD_D04_L1_A160,5,19.248,-4.744,-397.043,19.248,4.744,397.043,173.845,2.475,-0.6,정상
WELD_D04_L1_A160,6,48.235,-13.742,-391.446,48.235,13.742,391.446,204.686,1.459,0.004,정상
WELD_D04_L1_A160,7,75.105,-22.063,-384.828,75.105,22.063,384.828,233.578,1.883,0.268,정상
WELD_D04_L1_A160,8,99.483,-28.525,-380.951,99.483,28.525,380.951,259.028,0.09,-0.113,정상
WELD_D04_L1_A160,9,118.132,-34.013,-375.861,118.132,34.013,375.861,279.109,0.821,-0.3,정상
WELD_D04_L1_A160,10,131.592,-38.001,-373.601,131.592,38.001,373.601,293.303,-0.0,-0.133,정상
WELD_D04_L1_A170,0,133.221,-27.224,-384.09,133.221,27.224,384.09,0.0,0.0,0.0,정상
WELD_D04_L1_A170,1,119.187,-24.678,-384.564,119.187,24.678,384.564,14.214,-1.259,0.156,정상
WELD_D04_L1_A170,2,103.974,-21.233,-386.365,103.974,21.233,386.365,29.907,-1.373,-0.369,정상
WELD_D04_L1_A170,3,60.617,-13.561,-394.12,60.617,13.561,394.12,74.55,0.989,0.193,정상
WELD_D04_L1_A170,4,16.796,-5.499,-397.322,16.796,5.499,397.322,119.164,-1.236,0.541,정상
WELD_D04_L1_A170,5,-2.79,-1.879,-400.117,-2.79,1.879,400.117,139.273,-0.877,0.656,정상
WELD_D04_L1_A170,6,-22.437,2.234,-401.604,-22.437,-2.234,401.604,159.375,-1.845,0.322,정상
WELD_D04_L1_A170,7,-37.201,4.909,-404.196,-37.201,-4.909,404.196,174.582,-1.091,0.453,정상
WELD_D04_L1_A170,8,-71.148,11.491,-408.275,-71.148,-11.491,408.275,209.401,-1.242,0.364,정상
