조건,판재두께_mm,용접선,시편회전_도,판사이각도_도,판정,웨이포인트_개수,경로길이_mm,용접선IoU_퍼센트,라벨대비편차_mm,해양대교선과의거리_mm,평균확률,유효구간비율,추론용접점_개수,접촉5mm라벨_개수,해양대3mm밴드_개수,수동라벨_있음
WELD_D04_L1_A000,4,L1,0,88.71,정상,12,292.9,96.33,2.02,2.88,0.987,1.000,1248,1445,513,있음
WELD_D04_L1_A010,4,L1,10,88.87,정상,10,297.9,94.53,2.27,2.52,0.980,1.000,1418,1634,626,있음
WELD_D04_L1_A020,4,L1,20,89.23,정상,10,291.6,95.42,2.32,2.59,0.982,1.000,1379,1684,726,있음
WELD_D04_L1_A030,4,L1,30,88.53,정상,12,293.3,93.02,2.67,2.98,0.974,1.000,1298,1514,458,있음
WELD_D04_L1_A040,4,L1,40,88.36,정상,12,286.3,92.84,2.34,3.22,0.973,1.000,1250,1457,467,있음
WELD_D04_L1_A050,4,L1,50,88.26,정상,12,288.4,89.84,2.37,3.81,0.966,1.000,1091,1213,457,있음
WELD_D04_L1_A130,4,L1,130,89.09,정상,11,295.0,92.67,2.27,3.55,0.970,1.000,1269,1476,278,있음
WELD_D04_L1_A140,4,L1,140,88.70,정상,11,289.6,93.01,2.34,3.43,0.972,1.000,1382,1599,370,있음
WELD_D04_L1_A150,4,L1,150,88.75,정상,10,295.2,91.92,2.32,3.44,0.966,1.000,1342,1504,356,있음
WELD_D04_L1_A160,4,L1,160,88.54,정상,11,293.7,93.60,2.32,3.59,0.974,1.000,1392,1614,445,있음
WELD_D04_L1_A170,4,L1,170,88.63,정상,12,294.2,95.14,2.30,3.14,0.977,1.000,1400,1605,596,있음
WELD_D04_L2_A000,4,L2,0,89.86,정상,11,294.8,94.87,2.09,2.55,0.978,1.000,1303,1501,621,있음
WELD_D04_L2_A010,4,L2,10,89.81,정상,11,295.6,94.58,2.31,2.63,0.975,1.000,1407,1634,646,있음
WELD_D04_L2_A020,4,L2,20,89.66,정상,10,296.7,93.74,2.35,2.64,0.980,1.000,1435,1697,777,있음
WELD_D04_L2_A030,4,L2,30,88.90,정상,11,292.1,92.86,2.35,2.72,0.974,1.000,1285,1476,559,있음
WELD_D04_L2_A040,4,L2,40,88.98,정상,10,288.9,92.17,2.34,3.10,0.972,0.983,1249,1475,500,있음
WELD_D04_L2_A050,4,L2,50,88.94,정상,11,277.2,89.26,2.62,3.19,0.966,1.000,1114,1318,465,있음
WELD_D04_L2_A130,4,L2,130,88.59,정상,11,294.5,92.16,2.31,3.12,0.969,1.000,1338,1510,446,있음
WELD_D04_L2_A140,4,L2,140,88.85,정상,12,297.3,92.38,2.32,2.96,0.967,1.000,1307,1598,543,있음
WELD_D04_L2_A150,4,L2,150,88.93,정상,10,294.6,93.84,2.32,3.10,0.972,1.000,1296,1522,493,있음
WELD_D04_L2_A160,4,L2,160,89.36,정상,12,297.1,93.69,2.38,2.75,0.971,0.984,1423,1652,595,있음
WELD_D04_L2_A170,4,L2,170,89.59,정상,13,296.3,93.03,2.29,2.47,0.969,1.000,1395,1621,732,있음
WELD_D08_L1_A000,8,L1,0,86.89,정상,19,292.4,79.35,2.15,7.48,0.911,1.000,495,355,13,없음
WELD_D08_L1_A010,8,L1,10,86.96,정상,26,296.2,78.01,2.02,6.35,0.936,0.967,554,305,34,있음
WELD_D08_L1_A020,8,L1,20,83.08,정상,18,296.0,78.29,2.07,5.46,0.935,0.983,498,333,63,있음
WELD_D08_L1_A030,8,L1,30,78.97,정상,20,296.6,74.30,2.30,3.86,0.925,1.000,515,338,90,있음
WELD_D08_L1_A040,8,L1,40,83.24,정상,14,291.4,80.32,2.16,5.92,0.936,1.000,529,336,3,있음
WELD_D08_L1_A050,8,L1,50,85.03,정상,18,291.0,78.26,2.14,6.14,0.927,0.983,516,303,32,있음
WELD_D08_L1_A130,8,L1,130,84.36,정상,23,298.1,82.02,2.07,8.30,0.932,0.967,503,312,3,있음
WELD_D08_L1_A140,8,L1,140,82.92,정상,21,296.5,78.51,2.17,5.70,0.928,1.000,536,351,60,있음
WELD_D08_L1_A150,8,L1,150,84.51,정상,21,294.6,76.45,2.22,6.92,0.924,1.000,529,346,8,있음
WELD_D08_L1_A160,8,L1,160,84.45,정상,17,292.5,82.99,2.23,6.29,0.946,0.983,508,379,29,있음
WELD_D08_L1_A170,8,L1,170,83.37,정상,18,295.9,82.26,2.28,5.91,0.944,1.000,532,393,96,있음
WELD_D08_L2_A000,8,L2,0,87.61,정상,21,296.4,66.41,2.25,6.90,0.899,0.984,578,305,0,있음
WELD_D08_L2_A010,8,L2,10,88.98,정상,19,297.3,73.65,2.22,8.90,0.925,1.000,568,340,0,있음
WELD_D08_L2_A020,8,L2,20,89.24,정상,17,301.3,76.35,2.17,5.82,0.928,0.984,549,355,1,있음
WELD_D08_L2_A030,8,L2,30,87.27,정상,18,296.1,81.58,2.14,5.66,0.925,1.000,507,348,20,있음
WELD_D08_L2_A040,8,L2,40,86.71,정상,14,294.4,77.62,2.27,5.81,0.921,1.000,528,330,13,있음
WELD_D08_L2_A050,8,L2,50,85.90,정상,16,293.1,78.52,2.28,5.71,0.927,1.000,542,336,18,있음
WELD_D08_L2_A130,8,L2,130,86.92,정상,17,297.6,80.36,2.23,6.20,0.930,1.000,513,330,7,있음
WELD_D08_L2_A140,8,L2,140,87.81,정상,21,296.3,78.84,2.16,4.53,0.931,1.000,519,355,41,있음
WELD_D08_L2_A150,8,L2,150,85.63,정상,17,294.8,76.29,2.19,5.55,0.926,1.000,507,363,54,있음
WELD_D08_L2_A160,8,L2,160,89.58,정상,15,296.3,81.65,2.22,5.86,0.929,1.000,520,409,32,있음
WELD_D08_L2_A170,8,L2,170,87.92,정상,16,294.0,79.58,2.25,4.72,0.928,1.000,544,388,79,있음
WELD_D12_L1_A000,12,L1,0,71.27,정상,32,299.7,48.19,4.52,6.92,0.866,0.915,494,158,24,없음
WELD_D12_L1_A010,12,L1,10,76.77,정상,30,292.8,72.15,2.28,4.97,0.928,0.948,524,154,24,있음
WELD_D12_L1_A020,12,L1,20,88.27,정상,32,287.5,73.26,2.40,9.17,0.925,0.982,483,148,13,있음
WELD_D12_L1_A030,12,L1,30,84.17,정상,31,288.9,75.63,2.29,12.14,0.907,0.947,453,134,4,있음
WELD_D12_L1_A040,12,L1,40,83.13,정상,24,285.1,62.81,2.08,12.93,0.897,0.982,523,119,0,있음
WELD_D12_L1_A050,12,L1,50,69.78,정상,30,292.9,62.67,2.29,13.77,0.891,0.948,509,108,2,있음
WELD_D12_L1_A130,12,L1,130,69.35,정상,26,273.1,60.58,2.16,18.36,0.888,0.891,410,105,6,있음
WELD_D12_L1_A140,12,L1,140,79.09,정상,31,300.2,71.04,2.19,18.81,0.874,0.966,598,123,3,있음
WELD_D12_L1_A150,12,L1,150,75.87,정상,25,308.2,59.87,3.24,12.89,0.864,0.867,488,137,22,있음
WELD_D12_L1_A160,12,L1,160,72.80,정상,29,288.7,64.35,2.41,15.44,0.883,0.983,571,145,0,있음
WELD_D12_L1_A170,12,L1,170,83.21,정상,33,292.1,66.19,2.42,19.57,0.901,0.932,468,154,0,있음
WELD_D12_L2_A000,12,L2,0,66.23,정상,27,290.7,72.44,2.25,14.16,0.896,0.983,584,156,11,있음
WELD_D12_L2_A010,12,L2,10,77.98,정상,28,290.0,59.97,2.90,9.38,0.890,0.966,563,152,1,있음
WELD_D12_L2_A020,12,L2,20,77.22,정상,23,298.6,66.23,2.51,5.08,0.904,0.967,516,147,16,있음
WELD_D12_L2_A030,12,L2,30,72.23,정상,31,299.0,74.70,2.43,8.21,0.915,0.983,510,138,18,있음
WELD_D12_L2_A040,12,L2,40,65.20,정상,27,288.5,55.10,2.60,7.13,0.915,0.948,562,117,24,있음
WELD_D12_L2_A050,12,L2,50,76.24,정상,33,308.5,71.54,2.15,11.37,0.917,0.966,486,109,8,있음
WELD_D12_L2_A130,12,L2,130,72.77,정상,21,286.9,75.52,1.80,10.22,0.914,0.914,448,106,29,있음
WELD_D12_L2_A140,12,L2,140,72.10,정상,24,300.7,77.50,2.02,15.93,0.909,0.967,509,121,46,있음
