condition,seq,x_raw_mm,y_raw_mm,z_raw_mm,x_cam_mm,y_cam_mm,z_cam_mm,x_local_mm,y_local_mm,z_local_mm,status
WELD_D04_L1_A000,0,138.527,-3.803,-406.66,138.527,3.803,406.66,0.0,0.0,0.0,정상
WELD_D04_L1_A000,1,123.404,-4.247,-405.901,123.404,4.247,405.901,15.131,0.353,-0.63,정상
WELD_D04_L1_A000,2,98.535,-3.264,-405.015,98.535,3.264,405.015,40.027,0.379,-0.005,정상
WELD_D04_L1_A000,3,44.314,-3.739,-404.528,44.314,3.739,404.528,94.224,-0.702,-1.406,정상
WELD_D04_L1_A000,4,-4.929,-2.229,-402.431,-4.929,2.229,402.431,143.526,-0.26,-0.564,정상
WELD_D04_L1_A000,5,-45.846,-2.709,-399.08,-45.846,2.709,399.08,184.517,1.901,-1.407,정상
WELD_D04_L1_A000,6,-55.101,-1.716,-398.734,-55.101,1.716,398.734,193.792,1.856,-0.549,정상
WELD_D04_L1_A000,7,-84.4,-0.988,-398.583,-84.4,0.988,398.583,223.088,1.05,-0.34,정상
WELD_D04_L1_A000,8,-119.48,-0.919,-396.096,-119.48,0.919,396.096,258.226,2.466,-0.629,정상
WELD_D04_L1_A000,9,-129.236,-0.209,-395.958,-129.236,0.209,395.958,267.991,2.231,-0.085,정상
WELD_D04_L1_A000,10,-153.715,0.31,-397.41,-153.715,-0.31,397.41,292.417,-0.0,-0.177,정상
WELD_D04_L1_A010,0,-155.731,-20.516,-372.813,-155.731,20.516,372.813,0.0,0.0,0.0,정상
WELD_D04_L1_A010,1,-121.725,-15.752,-378.3,-121.725,15.752,378.3,34.74,1.452,0.471,정상
WELD_D04_L1_A010,2,-79.09,-10.265,-388.643,-79.09,10.265,388.643,78.927,-0.056,0.188,정상
WELD_D04_L1_A010,3,-63.627,-7.741,-391.319,-63.627,7.741,391.319,94.808,0.587,0.011,정상
WELD_D04_L1_A010,4,-39.468,-5.026,-396.364,-39.468,5.026,396.364,119.63,0.31,0.515,정상
WELD_D04_L1_A010,5,28.188,5.292,-408.547,28.188,-5.292,408.547,189.113,2.396,0.212,정상
WELD_D04_L1_A010,6,66.189,9.572,-417.363,66.189,-9.572,417.363,228.335,1.167,0.665,정상
WELD_D04_L1_A010,7,105.766,15.908,-424.546,105.766,-15.908,424.546,269.031,2.46,0.195,정상
WELD_D04_L1_A010,8,120.108,17.913,-428.071,120.108,-17.913,428.071,283.925,1.976,-0.062,정상
WELD_D04_L1_A010,9,132.924,18.632,-432.446,132.924,-18.632,432.446,297.339,0.0,0.215,정상
WELD_D04_L1_A020,0,124.658,22.756,-433.574,124.658,-22.756,433.574,0.0,0.0,0.0,정상
WELD_D04_L1_A020,1,106.586,19.285,-427.108,106.586,-19.285,427.108,19.453,1.389,0.323,정상
WELD_D04_L1_A020,2,82.807,14.594,-421.693,82.807,-14.594,421.693,44.249,0.25,1.114,정상
WELD_D04_L1_A020,3,63.755,9.845,-416.056,63.755,-9.845,416.056,64.671,0.357,0.6,정상
WELD_D04_L1_A020,4,31.794,2.919,-404.773,31.794,-2.919,404.773,99.198,2.499,0.445,정상
WELD_D04_L1_A020,5,-1.15,-3.83,-396.841,-1.15,3.83,396.841,133.719,1.275,1.235,정상
WELD_D04_L1_A020,6,-57.533,-17.223,-382.009,-57.533,17.223,382.009,193.521,-0.024,0.635,정상
WELD_D04_L1_A020,7,-84.937,-22.914,-373.747,-84.937,22.914,373.747,222.697,0.524,0.959,정상
WELD_D04_L1_A020,8,-130.801,-33.956,-360.059,-130.801,33.956,360.059,271.807,0.979,0.075,정상
WELD_D04_L1_A020,9,-149.391,-37.944,-355.845,-149.391,37.944,355.845,291.254,-0.0,0.392,정상
WELD_D04_L1_A030,0,127.26,66.221,-458.148,127.26,-66.221,458.148,0.0,0.0,0.0,정상
WELD_D04_L1_A030,1,124.011,63.172,-459.318,124.011,-63.172,459.318,3.491,3.0,-0.195,정상
WELD_D04_L1_A030,2,109.745,52.092,-459.628,109.745,-52.092,459.628,19.714,10.947,-0.289,정상
WELD_D04_L1_A030,3,75.987,37.909,-443.456,75.987,-37.909,443.456,59.697,9.064,-0.6,정상
WELD_D04_L1_A030,4,43.223,22.806,-426.046,43.223,-22.806,426.046,99.659,6.696,0.86,정상
WELD_D04_L1_A030,5,5.518,5.84,-408.657,5.518,-5.84,408.657,144.504,5.81,0.963,정상
WELD_D04_L1_A030,6,-15.51,-1.875,-398.404,-15.51,1.875,398.404,169.041,3.813,0.083,정상
WELD_D04_L1_A030,7,-40.304,-13.432,-385.116,-40.304,13.432,385.116,199.374,2.01,1.331,정상
WELD_D04_L1_A030,8,-61.4,-21.786,-375.591,-61.4,21.786,375.591,223.947,0.982,0.502,정상
WELD_D04_L1_A030,9,-77.723,-28.886,-366.95,-77.723,28.886,366.95,243.679,-0.431,0.919,정상
WELD_D04_L1_A030,10,-103.893,-39.578,-355.753,-103.893,39.578,355.753,274.06,-1.016,-0.183,정상
WELD_D04_L1_A030,11,-117.47,-44.915,-351.775,-117.47,44.915,351.775,289.06,-0.0,-1.793,정상
WELD_D04_L1_A040,0,-121.727,-59.981,-333.696,-121.727,59.981,333.696,0.0,0.0,0.0,정상
WELD_D04_L1_A040,1,-106.641,-51.338,-342.77,-106.641,51.338,342.77,19.564,-0.89,-1.055,정상
WELD_D04_L1_A040,2,-81.499,-34.88,-359.455,-81.499,34.88,359.455,53.922,-1.836,-0.998,정상
WELD_D04_L1_A040,3,-61.114,-21.627,-375.52,-61.114,21.627,375.52,83.027,-0.403,-0.731,정상
WELD_D04_L1_A040,4,-38.233,-7.645,-390.184,-38.233,7.645,390.184,113.566,-1.322,-1.532,정상
WELD_D04_L1_A040,5,-6.85,12.304,-414.477,-6.85,-12.304,414.477,157.939,0.685,-1.533,정상
WELD_D04_L1_A040,6,14.973,26.196,-427.92,14.973,-26.196,427.92,187.049,-0.87,-1.917,정상
WELD_D04_L1_A040,7,39.291,42.93,-446.456,39.291,-42.93,446.456,221.882,-0.055,-0.936,정상
WELD_D04_L1_A040,8,56.006,54.899,-457.673,56.006,-54.899,457.673,245.267,-0.975,-0.067,정상
WELD_D04_L1_A040,9,71.42,64.55,-468.169,71.42,-64.55,468.169,266.262,-1.157,-0.351,정상
WELD_D04_L1_A040,10,85.503,72.778,-479.044,85.503,-72.778,479.044,285.823,0.0,-0.93,정상
WELD_D04_L1_A050,0,-108.002,-60.856,-332.332,-108.002,60.856,332.332,0.0,0.0,0.0,정상
WELD_D04_L1_A050,1,-97.237,-52.067,-340.162,-97.237,52.067,340.162,15.857,1.684,-0.396,정상
WELD_D04_L1_A050,2,-85.226,-42.92,-351.315,-85.226,42.92,351.315,34.594,1.887,0.704,정상
WELD_D04_L1_A050,3,-73.145,-31.761,-362.189,-73.145,31.761,362.189,54.295,2.247,0.02,정상
WELD_D04_L1_A050,4,-43.363,-5.328,-392.418,-43.363,5.328,392.418,104.264,0.764,0.634,정상
WELD_D04_L1_A050,5,-12.305,20.815,-419.908,-12.305,-20.815,419.908,153.273,2.129,0.829,정상
WELD_D04_L1_A050,6,3.305,35.772,-435.138,3.305,-35.772,435.138,179.701,1.736,-0.027,정상
WELD_D04_L1_A050,7,12.361,43.825,-444.628,12.361,-43.825,444.628,195.076,1.074,0.268,정상
WELD_D04_L1_A050,8,27.424,56.781,-457.316,27.424,-56.781,457.316,218.62,2.179,-0.133,정상
WELD_D04_L1_A050,9,54.133,80.557,-484.138,54.133,-80.557,484.138,263.304,1.05,0.242,정상
WELD_D04_L1_A050,10,59.558,86.239,-489.716,59.558,-86.239,489.716,272.915,0.69,-0.347,정상
WELD_D04_L1_A050,11,68.486,93.59,-499.162,68.486,-93.59,499.162,287.808,0.0,0.476,정상
WELD_D04_L1_A130,0,99.926,-84.667,-323.41,99.926,84.667,323.41,0.0,0.0,0.0,정상
WELD_D04_L1_A130,1,89.709,-75.789,-329.513,89.709,75.789,329.513,14.747,-1.61,-0.635,정상
WELD_D04_L1_A130,2,80.247,-67.662,-337.393,80.247,67.662,337.393,29.494,-1.203,-0.794,정상
WELD_D04_L1_A130,3,59.899,-51.351,-352.214,59.899,51.351,352.214,59.48,-1.912,-0.518,정상
WELD_D04_L1_A130,4,-1.7,-0.336,-400.45,-1.7,0.336,400.45,152.88,-1.509,-0.489,정상
WELD_D04_L1_A130,5,-17.19,12.991,-414.178,-17.19,-12.991,414.178,177.459,-0.148,-0.638,정상
WELD_D04_L1_A130,6,-34.042,26.221,-425.291,-34.042,-26.221,425.291,201.546,-1.666,-0.364,정상
WELD_D04_L1_A130,7,-53.456,42.661,-441.18,-53.456,-42.661,441.18,231.532,-1.024,-0.544,정상
WELD_D04_L1_A130,8,-66.68,53.832,-450.544,-66.68,-53.832,450.544,251.195,-1.814,-0.872,정상
WELD_D04_L1_A130,9,-83.793,66.523,-463.815,-83.793,-66.523,463.815,276.265,-1.545,0.326,정상
WELD_D04_L1_A130,10,-94.411,77.134,-474.266,-94.411,-77.134,474.266,294.454,0.0,-0.819,정상
WELD_D04_L1_A140,0,108.791,-73.816,-334.261,108.791,73.816,334.261,0.0,0.0,0.0,정상
WELD_D04_L1_A140,1,88.78,-63.047,-343.926,88.78,63.047,343.926,24.64,-1.513,-0.625,정상
WELD_D04_L1_A140,2,77.138,-55.38,-349.489,77.138,55.38,349.489,39.617,-1.291,-1.575,정상
WELD_D04_L1_A140,3,53.841,-41.488,-363.342,53.841,41.488,363.342,70.055,-1.535,-0.505,정상
WELD_D04_L1_A140,4,26.596,-25.357,-377.767,26.596,25.357,377.767,104.841,-2.213,-0.79,정상
WELD_D04_L1_A140,5,11.298,-15.883,-387.187,11.298,15.883,387.187,125.132,-2.038,0.066,정상
WELD_D04_L1_A140,6,-7.291,-3.241,-397.328,-7.291,3.241,397.328,149.772,-1.153,-0.484,정상
WELD_D04_L1_A140,7,-30.759,10.653,-409.733,-30.759,-10.653,409.733,179.727,-1.742,-0.746,정상
WELD_D04_L1_A140,8,-49.873,22.155,-421.336,-49.873,-22.155,421.336,204.85,-1.818,0.302,정상
WELD_D04_L1_A140,9,-99.593,54.276,-447.616,-99.593,-54.276,447.616,269.59,-0.937,-1.275,정상
WELD_D04_L1_A140,10,-114.081,64.135,-456.935,-114.081,-64.135,456.935,289.398,0.0,-0.448,정상
WELD_D04_L1_A150,0,111.685,-59.332,-351.942,111.685,59.332,351.942,0.0,0.0,0.0,정상
WELD_D04_L1_A150,1,99.51,-52.373,-355.455,99.51,52.373,355.455,14.276,-2.082,-0.937,정상
WELD_D04_L1_A150,2,87.174,-46.009,-360.555,87.174,46.009,360.555,29.039,-2.924,-0.816,정상
WELD_D04_L1_A150,3,71.693,-37.351,-369.136,71.693,37.351,369.136,48.721,-2.01,-0.613,정상
WELD_D04_L1_A150,4,6.774,-2.918,-400.062,6.774,2.918,400.062,128.439,-2.781,0.402,정상
WELD_D04_L1_A150,5,-47.599,28.21,-427.534,-47.599,-28.21,427.534,196.84,-1.821,-0.317,정상
