time_s	target_X	target_Y	target_Z	current_X	current_Y	current_Z	error_X	error_Y	error_Z
2.00	261.65	-60.31	13.50	261.86	-60.28	13.22	-0.22	-0.03	0.28
4.00	261.65	-60.31	12.20	261.63	-60.27	11.90	0.02	-0.04	0.30
6.00	261.65	-59.22	12.20	261.64	-59.27	11.92	0.00	0.05	0.28
7.99	261.65	-58.28	12.20	261.64	-58.22	11.90	0.01	-0.06	0.30
9.99	261.65	-57.34	12.20	261.66	-57.31	11.93	-0.02	-0.04	0.27
11.99	261.65	-56.41	12.20	261.67	-56.39	11.94	-0.03	-0.02	0.26
13.99	261.65	-55.47	12.20	261.62	-55.45	11.90	0.02	-0.01	0.30
15.99	261.65	-54.38	12.20	261.67	-54.35	11.93	-0.03	-0.02	0.27
17.99	261.79	-53.44	12.20	261.82	-53.48	11.95	-0.03	0.04	0.25
19.99	262.08	-52.19	12.20	262.12	-52.15	11.95	-0.04	-0.04	0.25
21.99	262.08	-51.25	12.20	262.07	-51.22	11.91	0.02	-0.03	0.29
23.99	262.08	-50.31	12.20	262.08	-50.31	11.92	0.00	0.00	0.28
25.99	262.08	-50.31	13.50	262.10	-50.32	13.24	-0.01	0.00	0.26
