condition,status,사유,waypoints,path_length_mm,weld_iou_pct,dev_vs_label_mm,pred_points,mean_prob,valid_bin_ratio
WELD_D04_L1_A000,정상,,11,292.9,96.57,2.02,1247,0.987,1.0
WELD_D04_L1_A010,정상,,10,297.8,94.09,2.26,1402,0.982,1.0
WELD_D04_L1_A020,정상,,10,291.6,95.42,2.31,1377,0.983,1.0
WELD_D04_L1_A030,정상,,12,292.8,92.82,2.68,1305,0.975,1.0
WELD_D04_L1_A040,정상,,11,286.3,93.22,2.34,1251,0.974,1.0
WELD_D04_L1_A050,정상,,12,288.4,90.64,2.37,1100,0.961,1.0
WELD_D04_L1_A130,정상,,11,295.0,93.06,2.27,1280,0.971,1.0
WELD_D04_L1_A140,정상,,11,289.8,93.24,2.34,1391,0.971,1.0
WELD_D04_L1_A150,정상,,9,295.3,91.81,2.32,1352,0.968,1.0
WELD_D04_L1_A160,정상,,10,293.7,92.91,2.32,1390,0.973,1.0
WELD_D04_L1_A170,정상,,12,294.2,95.28,2.3,1404,0.979,1.0
WELD_D04_L2_A000,정상,,13,294.8,95.54,2.08,1308,0.978,1.0
WELD_D04_L2_A010,정상,,10,295.6,94.77,2.3,1400,0.981,1.0
WELD_D04_L2_A020,정상,,9,296.7,93.98,2.35,1425,0.982,1.0
WELD_D04_L2_A030,정상,,11,292.1,93.01,2.35,1289,0.977,1.0
WELD_D04_L2_A040,정상,,11,294.3,92.36,2.34,1261,0.97,1.0
WELD_D04_L2_A050,정상,,10,282.8,89.63,2.5,1126,0.97,1.0
WELD_D04_L2_A130,정상,,11,294.7,92.21,2.31,1356,0.967,1.0
WELD_D04_L2_A140,정상,,13,297.4,92.77,2.32,1320,0.965,1.0
WELD_D04_L2_A150,정상,,10,294.6,93.93,2.32,1305,0.971,1.0
WELD_D04_L2_A160,정상,,9,297.2,93.51,2.38,1403,0.973,0.984
WELD_D04_L2_A170,정상,,12,296.2,93.21,2.29,1413,0.971,1.0
WELD_D08_L1_A010,정상,,26,296.6,80.49,2.01,554,0.942,0.983
WELD_D08_L1_A020,정상,,21,295.1,77.86,2.07,501,0.936,0.983
WELD_D08_L1_A030,정상,,20,297.7,76.41,2.25,527,0.926,1.0
WELD_D08_L1_A040,정상,,19,292.0,80.31,2.14,565,0.924,1.0
WELD_D08_L1_A050,정상,,15,291.3,77.84,2.15,519,0.926,0.967
WELD_D08_L1_A130,정상,,21,302.4,81.82,2.1,511,0.926,0.984
WELD_D08_L1_A140,정상,,18,296.5,78.96,2.2,535,0.929,1.0
WELD_D08_L1_A150,정상,,20,296.2,72.87,2.32,519,0.92,1.0
WELD_D08_L1_A160,정상,,19,292.7,83.73,2.22,512,0.94,0.983
WELD_D08_L1_A170,정상,,21,295.9,80.39,2.29,536,0.938,1.0
WELD_D08_L2_A000,정상,,26,303.0,64.16,2.36,544,0.915,1.0
WELD_D08_L2_A010,정상,,20,297.4,73.25,2.25,569,0.922,1.0
WELD_D08_L2_A020,정상,,18,300.7,76.58,2.16,568,0.917,0.984
WELD_D08_L2_A030,정상,,18,295.1,80.08,2.18,499,0.926,1.0
WELD_D08_L2_A040,정상,,13,292.4,77.29,2.25,519,0.918,1.0
WELD_D08_L2_A050,정상,,19,293.2,78.14,2.28,538,0.93,1.0
WELD_D08_L2_A130,정상,,16,297.6,79.96,2.25,518,0.921,1.0
WELD_D08_L2_A140,정상,,16,295.9,80.53,2.12,525,0.929,1.0
WELD_D08_L2_A150,정상,,20,294.7,78.51,2.14,523,0.917,1.0
WELD_D08_L2_A160,정상,,17,296.3,83.27,2.23,518,0.94,1.0
WELD_D08_L2_A170,정상,,19,294.0,78.67,2.26,537,0.933,1.0
WELD_D12_L1_A010,정상,,30,292.8,73.63,2.14,510,0.923,0.966
WELD_D12_L1_A020,정상,,30,293.6,70.0,2.34,506,0.898,0.965
WELD_D12_L1_A030,정상,,31,288.9,78.61,2.28,472,0.916,0.965
WELD_D12_L1_A040,정상,,28,284.0,66.67,2.05,530,0.902,0.965
WELD_D12_L1_A050,정상,,28,291.4,62.28,2.38,510,0.871,0.948
WELD_D12_L1_A130,정상,,27,268.6,66.47,2.16,427,0.885,0.927
WELD_D12_L1_A140,정상,,29,297.2,72.39,2.29,588,0.891,0.948
WELD_D12_L1_A150,정상,,27,292.7,62.35,2.61,448,0.845,0.845
WELD_D12_L1_A160,정상,,27,293.1,62.96,2.53,554,0.885,0.965
WELD_D12_L1_A170,정상,,31,296.9,65.86,2.47,486,0.901,0.932
WELD_D12_L2_A000,정상,,27,291.6,69.16,2.19,550,0.901,0.983
WELD_D12_L2_A010,정상,,24,286.3,66.56,2.34,543,0.898,0.93
WELD_D12_L2_A020,정상,,22,294.5,64.24,2.55,494,0.909,0.983
WELD_D12_L2_A030,정상,,36,303.8,76.53,2.29,533,0.905,0.983
WELD_D12_L2_A040,정상,,24,290.7,54.53,2.61,566,0.901,0.983
WELD_D12_L2_A050,정상,,35,308.5,74.51,2.16,479,0.894,0.983
WELD_D12_L2_A130,정상,,28,294.5,76.55,1.77,430,0.926,0.949
WELD_D12_L2_A140,정상,,24,301.1,75.89,2.08,516,0.898,0.95
WELD_D12_L2_A150,정상,,28,300.1,69.75,2.45,505,0.899,0.966
WELD_D12_L2_A160,정상,,25,295.4,75.7,1.91,577,0.895,1.0
WELD_D12_L2_A170,정상,,36,296.1,70.14,2.31,602,0.916,1.0
