조건,분할,원본점,원본_용접선,저장점,용접선,모재,배경,용접선비율
WELD_D04_L1_A000,train,197661,513,8466,513,6000,1953,6.06
WELD_D04_L1_A010,train,197725,626,8613,626,6000,1987,7.27
WELD_D04_L1_A020,val,196977,726,8743,726,6000,2017,8.3
WELD_D04_L1_A030,train,196905,458,8395,458,6000,1937,5.46
WELD_D04_L1_A040,test,196149,467,8407,467,6000,1940,5.55
WELD_D04_L1_A050,train,196226,457,8394,457,6000,1937,5.44
WELD_D04_L1_A130,train,197268,278,8161,278,6000,1883,3.41
WELD_D04_L1_A140,train,197303,370,8281,370,6000,1911,4.47
WELD_D04_L1_A150,test,197432,356,8262,356,6000,1906,4.31
WELD_D04_L1_A160,train,197402,445,8378,445,6000,1933,5.31
WELD_D04_L1_A170,train,197600,596,8574,596,6000,1978,6.95
WELD_D04_L2_A000,train,195687,621,8607,621,6000,1986,7.22
WELD_D04_L2_A010,train,195298,646,8639,646,6000,1993,7.48
WELD_D04_L2_A020,val,194502,777,8810,777,6000,2033,8.82
WELD_D04_L2_A030,train,194283,559,8526,559,6000,1967,6.56
WELD_D04_L2_A040,test,193985,500,8450,500,6000,1950,5.92
WELD_D04_L2_A050,train,193310,465,8404,465,6000,1939,5.53
WELD_D04_L2_A130,train,194603,446,8379,446,6000,1933,5.32
WELD_D04_L2_A140,train,195253,543,8505,543,6000,1962,6.38
WELD_D04_L2_A150,test,194947,493,8440,493,6000,1947,5.84
WELD_D04_L2_A160,train,195321,595,8573,595,6000,1978,6.94
WELD_D04_L2_A170,train,195265,732,8751,732,6000,2019,8.36
WELD_D08_L1_A000,train,194693,13,1966,13,1500,453,0.66
WELD_D08_L1_A010,train,194690,34,2696,34,2040,622,1.26
WELD_D08_L1_A020,val,194848,63,4995,63,3780,1152,1.26
WELD_D08_L1_A030,train,194811,90,7137,90,5400,1647,1.26
WELD_D08_L1_A040,test,194850,3,1953,3,1500,450,0.15
WELD_D08_L1_A050,train,194703,32,2537,32,1920,585,1.26
WELD_D08_L1_A130,train,194824,3,1953,3,1500,450,0.15
WELD_D08_L1_A140,train,194687,60,4758,60,3600,1098,1.26
WELD_D08_L1_A150,test,194836,8,1960,8,1500,452,0.41
WELD_D08_L1_A160,train,194780,29,2299,29,1740,530,1.26
WELD_D08_L1_A170,train,194829,96,7612,96,5760,1756,1.26
WELD_D08_L2_A000,train,193007,0,1950,0,1500,450,0.0
WELD_D08_L2_A010,train,192979,0,1950,0,1500,450,0.0
WELD_D08_L2_A020,val,193146,1,1951,1,1500,450,0.05
WELD_D08_L2_A030,train,193119,20,1976,20,1500,456,1.01
WELD_D08_L2_A040,test,193207,13,1966,13,1500,453,0.66
WELD_D08_L2_A050,train,192782,18,1973,18,1500,455,0.91
WELD_D08_L2_A130,train,193138,7,1959,7,1500,452,0.36
WELD_D08_L2_A140,train,192975,41,3251,41,2460,750,1.26
WELD_D08_L2_A150,test,193161,54,4282,54,3240,988,1.26
WELD_D08_L2_A160,train,193137,32,2537,32,1920,585,1.26
WELD_D08_L2_A170,train,193286,79,6264,79,4740,1445,1.26
WELD_D12_L1_A000,train,194662,24,1981,24,1500,457,1.21
WELD_D12_L1_A010,train,194199,24,1981,24,1500,457,1.21
WELD_D12_L1_A020,val,194299,13,1966,13,1500,453,0.66
WELD_D12_L1_A030,train,194371,4,1955,4,1500,451,0.2
WELD_D12_L1_A040,test,194708,0,1950,0,1500,450,0.0
WELD_D12_L1_A050,train,194782,2,1952,2,1500,450,0.1
WELD_D12_L1_A130,train,194601,6,1957,6,1500,451,0.31
WELD_D12_L1_A140,train,194633,3,1953,3,1500,450,0.15
WELD_D12_L1_A150,test,194677,22,1978,22,1500,456,1.11
WELD_D12_L1_A160,train,194667,0,1950,0,1500,450,0.0
WELD_D12_L1_A170,train,194725,0,1950,0,1500,450,0.0
WELD_D12_L2_A000,train,192920,11,1964,11,1500,453,0.56
WELD_D12_L2_A010,train,192896,1,1951,1,1500,450,0.05
WELD_D12_L2_A020,val,192771,16,1970,16,1500,454,0.81
WELD_D12_L2_A030,train,192826,18,1973,18,1500,455,0.91
WELD_D12_L2_A040,test,192845,24,1981,24,1500,457,1.21
WELD_D12_L2_A050,train,192730,8,1960,8,1500,452,0.41
WELD_D12_L2_A130,train,192717,29,2299,29,1740,530,1.26
WELD_D12_L2_A140,train,192787,46,3637,46,2752,839,1.26
WELD_D12_L2_A150,test,192894,0,1950,0,1500,450,0.0
WELD_D12_L2_A160,train,192726,0,1950,0,1500,450,0.0
WELD_D12_L2_A170,train,192674,0,1950,0,1500,450,0.0
