조건,D,분할,원본점,용접선,모재,배경,저장점,용접선비율
WELD_D04_L1_A000,D04,train,197661,1351,6000,2205,9556,14.14
WELD_D04_L1_A010,D04,train,197725,1327,6000,2198,9525,13.93
WELD_D04_L1_A020,D04,val,196977,1331,6000,2199,9530,13.97
WELD_D04_L1_A030,D04,train,196905,1171,6000,2151,9322,12.56
WELD_D04_L1_A040,D04,test,196149,1138,6000,2141,9279,12.26
WELD_D04_L1_A050,D04,train,196226,904,6000,2071,8975,10.07
WELD_D04_L1_A130,D04,train,197268,1169,6000,2150,9319,12.54
WELD_D04_L1_A140,D04,train,197303,1254,6000,2176,9430,13.3
WELD_D04_L1_A150,D04,test,197432,1199,6000,2159,9358,12.81
WELD_D04_L1_A160,D04,train,197402,1288,6000,2186,9474,13.6
WELD_D04_L1_A170,D04,train,197600,1312,6000,2193,9505,13.8
WELD_D04_L2_A000,D04,train,195687,1420,6000,2226,9646,14.72
WELD_D04_L2_A010,D04,train,195298,1318,6000,2195,9513,13.85
WELD_D04_L2_A020,D04,val,194502,1331,6000,2199,9530,13.97
WELD_D04_L2_A030,D04,train,194283,1153,6000,2145,9298,12.4
WELD_D04_L2_A040,D04,test,193985,1158,6000,2147,9305,12.44
WELD_D04_L2_A050,D04,train,193310,1016,6000,2104,9120,11.14
WELD_D04_L2_A130,D04,train,194603,1189,6000,2156,9345,12.72
WELD_D04_L2_A140,D04,train,195253,1247,6000,2174,9421,13.24
WELD_D04_L2_A150,D04,test,194947,1206,6000,2161,9367,12.87
WELD_D04_L2_A160,D04,train,195321,1305,6000,2191,9496,13.74
WELD_D04_L2_A170,D04,train,195265,1334,6000,2200,9534,13.99
WELD_D08_L1_A010,D08,train,194690,249,2988,971,4208,5.92
WELD_D08_L1_A020,D08,val,194848,260,3120,1014,4394,5.92
WELD_D08_L1_A030,D08,train,194811,256,3072,998,4326,5.92
WELD_D08_L1_A040,D08,test,194850,266,3192,1037,4495,5.92
WELD_D08_L1_A050,D08,train,194703,218,2616,850,3684,5.92
WELD_D08_L1_A130,D08,train,194824,229,2748,893,3870,5.92
WELD_D08_L1_A140,D08,train,194687,272,3264,1060,4596,5.92
WELD_D08_L1_A150,D08,test,194836,279,3348,1088,4715,5.92
WELD_D08_L1_A160,D08,train,194780,272,3264,1060,4596,5.92
WELD_D08_L1_A170,D08,train,194829,272,3264,1060,4596,5.92
WELD_D08_L2_A000,D08,train,193007,244,2928,951,4123,5.92
WELD_D08_L2_A010,D08,train,192979,256,3072,998,4326,5.92
WELD_D08_L2_A020,D08,val,193146,273,3276,1064,4613,5.92
WELD_D08_L2_A030,D08,train,193119,276,3312,1076,4664,5.92
WELD_D08_L2_A040,D08,test,193207,256,3072,998,4326,5.92
WELD_D08_L2_A050,D08,train,192782,254,3048,990,4292,5.92
WELD_D08_L2_A130,D08,train,193138,269,3228,1049,4546,5.92
WELD_D08_L2_A140,D08,train,192975,296,3552,1154,5002,5.92
WELD_D08_L2_A150,D08,test,193161,298,3576,1162,5036,5.92
WELD_D08_L2_A160,D08,train,193137,293,3516,1142,4951,5.92
WELD_D08_L2_A170,D08,train,193286,273,3276,1064,4613,5.92
WELD_D12_L1_A010,D12,train,194199,122,1500,486,2108,5.79
WELD_D12_L1_A020,D12,val,194299,109,1500,482,2091,5.21
WELD_D12_L1_A030,D12,train,194371,89,1500,476,2065,4.31
WELD_D12_L1_A040,D12,test,194708,101,1500,480,2081,4.85
WELD_D12_L1_A050,D12,train,194782,67,1500,470,2037,3.29
WELD_D12_L1_A130,D12,train,194601,77,1500,473,2050,3.76
WELD_D12_L1_A140,D12,train,194633,102,1500,480,2082,4.9
WELD_D12_L1_A150,D12,test,194677,131,1572,510,2213,5.92
WELD_D12_L1_A160,D12,train,194667,140,1680,546,2366,5.92
WELD_D12_L1_A170,D12,train,194725,89,1500,476,2065,4.31
WELD_D12_L2_A000,D12,train,192920,154,1848,600,2602,5.92
WELD_D12_L2_A010,D12,train,192896,148,1776,577,2501,5.92
WELD_D12_L2_A020,D12,val,192771,127,1524,495,2146,5.92
WELD_D12_L2_A030,D12,train,192826,99,1500,479,2078,4.76
WELD_D12_L2_A040,D12,test,192845,77,1500,473,2050,3.76
WELD_D12_L2_A050,D12,train,192730,72,1500,471,2043,3.52
WELD_D12_L2_A130,D12,train,192717,76,1500,472,2048,3.71
WELD_D12_L2_A140,D12,train,192787,74,1500,472,2046,3.62
WELD_D12_L2_A150,D12,test,192894,93,1500,477,2070,4.49
WELD_D12_L2_A160,D12,train,192726,144,1728,561,2433,5.92
WELD_D12_L2_A170,D12,train,192674,124,1500,487,2111,5.87
