조건,D,L,A,판각도,수평점,수직점,현행3mm,교선까지_5분위,교선까지_최소,접촉1mm,접촉2mm,접촉3mm,접촉4mm,접촉6mm
WELD_D04_L1_A000,D04,L1,A000,88.7,17802,19261,513,6.3,0.44,0,470,940,1351,1886
WELD_D04_L1_A010,D04,L1,A010,88.9,17334,19522,626,6.21,0.22,0,525,981,1327,1980
WELD_D04_L1_A020,D04,L1,A020,89.2,18381,19345,726,6.02,0.04,0,525,985,1331,2045
WELD_D04_L1_A030,D04,L1,A030,88.5,16389,16109,458,6.24,0.14,0,503,887,1171,1833
WELD_D04_L1_A040,D04,L1,A040,88.4,16317,15408,467,6.13,0.35,0,487,835,1138,1756
WELD_D04_L1_A050,D04,L1,A050,88.3,15124,13203,457,5.99,0.1,0,375,640,904,1479
WELD_D04_L1_A130,D04,L1,A130,89.1,17357,15701,278,6.39,0.79,0,506,856,1169,1784
WELD_D04_L1_A140,D04,L1,A140,88.7,17792,16991,370,6.56,0.25,0,538,927,1254,1910
WELD_D04_L1_A150,D04,L1,A150,88.7,16361,16917,356,6.53,0.28,0,532,885,1199,1824
WELD_D04_L1_A160,D04,L1,A160,88.5,16755,18467,445,6.34,0.11,0,529,967,1288,1974
WELD_D04_L1_A170,D04,L1,A170,88.6,17999,19086,596,6.26,0.18,0,523,963,1312,1963
WELD_D04_L2_A000,D04,L2,A000,89.9,17602,19035,621,5.88,0.17,0,483,961,1420,1932
WELD_D04_L2_A010,D04,L2,A010,89.8,17366,18929,646,5.96,0.69,0,515,974,1318,1976
WELD_D04_L2_A020,D04,L2,A020,89.7,18320,18924,777,5.77,0.1,0,529,990,1331,2052
WELD_D04_L2_A030,D04,L2,A030,88.9,16050,16077,559,5.94,0.05,0,477,870,1153,1786
WELD_D04_L2_A040,D04,L2,A040,89.0,16617,15315,500,6.08,0.1,0,486,840,1158,1771
WELD_D04_L2_A050,D04,L2,A050,88.9,15180,12982,465,5.9,0.33,0,431,724,1016,1601
WELD_D04_L2_A130,D04,L2,A130,88.6,17891,14478,446,6.11,0.24,0,535,848,1189,1839
WELD_D04_L2_A140,D04,L2,A140,88.9,18195,16664,543,6.23,0.15,0,530,908,1247,1926
WELD_D04_L2_A150,D04,L2,A150,88.9,16897,16140,493,6.18,0.25,0,506,876,1206,1832
WELD_D04_L2_A160,D04,L2,A160,89.4,17204,18160,595,6.03,0.04,0,548,978,1305,1995
WELD_D04_L2_A170,D04,L2,A170,89.6,17854,18680,732,5.86,0.27,0,524,983,1334,1970
WELD_D08_L1_A010,D08,L1,A010,87.0,3663,4193,34,8.27,0.48,0,0,232,249,483
WELD_D08_L1_A020,D08,L1,A020,83.1,3815,4049,63,7.06,0.12,0,0,224,260,480
WELD_D08_L1_A030,D08,L1,A030,79.0,3720,3871,90,6.05,0.37,0,0,210,256,463
WELD_D08_L1_A040,D08,L1,A040,83.2,3624,3532,3,7.84,2.47,0,0,187,266,446
WELD_D08_L1_A050,D08,L1,A050,85.0,3947,3053,32,7.2,1.31,0,0,164,218,390
WELD_D08_L1_A130,D08,L1,A130,84.4,3888,3415,3,7.76,2.43,0,0,158,229,389
WELD_D08_L1_A140,D08,L1,A140,82.9,4017,3613,60,6.97,0.61,0,0,183,272,464
WELD_D08_L1_A150,D08,L1,A150,84.5,3790,3859,8,7.99,1.59,0,0,204,279,476
WELD_D08_L1_A160,D08,L1,A160,84.4,4103,4202,29,6.93,0.55,0,0,210,272,488
WELD_D08_L1_A170,D08,L1,A170,83.4,3952,4176,96,6.69,0.17,0,0,227,272,505
WELD_D08_L2_A000,D08,L2,A000,87.6,3636,4026,0,8.45,4.21,0,0,232,244,482
WELD_D08_L2_A010,D08,L2,A010,89.0,3739,4073,0,9.55,3.36,0,0,235,256,490
WELD_D08_L2_A020,D08,L2,A020,89.2,3546,3979,1,7.99,2.96,0,0,225,273,495
WELD_D08_L2_A030,D08,L2,A030,87.3,3655,3862,20,7.49,0.68,0,0,213,276,492
WELD_D08_L2_A040,D08,L2,A040,86.7,3625,3492,13,6.9,1.44,0,0,192,256,447
WELD_D08_L2_A050,D08,L2,A050,85.9,3787,3260,18,6.85,0.93,0,0,168,254,428
WELD_D08_L2_A130,D08,L2,A130,86.9,3700,3288,7,7.47,0.85,0,0,162,269,442
WELD_D08_L2_A140,D08,L2,A140,87.8,3975,3784,41,6.89,0.63,0,0,191,296,488
WELD_D08_L2_A150,D08,L2,A150,85.6,3754,3833,54,7.35,0.27,0,0,203,298,502
WELD_D08_L2_A160,D08,L2,A160,89.6,4098,4129,32,7.81,1.68,0,0,228,293,519
WELD_D08_L2_A170,D08,L2,A170,87.9,3971,4107,79,6.6,0.41,0,0,234,273,506
WELD_D12_L1_A010,D12,L1,A010,76.8,1550,1443,24,7.79,0.65,0,0,0,122,163
WELD_D12_L1_A020,D12,L1,A020,88.3,1507,1481,13,10.2,0.55,0,0,0,109,172
WELD_D12_L1_A030,D12,L1,A030,84.2,1443,1415,4,10.8,2.15,0,0,0,89,162
WELD_D12_L1_A040,D12,L1,A040,83.1,1451,1243,0,11.5,5.73,0,0,0,101,161
WELD_D12_L1_A050,D12,L1,A050,69.8,1470,1177,2,7.98,2.62,0,0,0,67,144
WELD_D12_L1_A130,D12,L1,A130,69.4,1486,1144,6,7.94,0.41,0,0,0,77,139
WELD_D12_L1_A140,D12,L1,A140,79.1,1532,1067,3,9.98,1.23,0,0,0,102,153
WELD_D12_L1_A150,D12,L1,A150,75.9,1454,1365,22,7.49,0.7,0,0,0,131,180
WELD_D12_L1_A160,D12,L1,A160,72.8,1527,1204,0,10.52,5.85,0,0,0,140,189
WELD_D12_L1_A170,D12,L1,A170,83.2,1565,1307,0,15.6,11.18,0,0,0,89,173
WELD_D12_L2_A000,D12,L2,A000,66.2,1483,1725,11,9.73,1.35,0,0,0,154,158
WELD_D12_L2_A010,D12,L2,A010,78.0,1310,1687,1,8.51,2.19,0,0,0,148,162
WELD_D12_L2_A020,D12,L2,A020,77.2,1360,1566,16,6.07,0.77,0,0,0,127,179
WELD_D12_L2_A030,D12,L2,A030,72.2,1469,1454,18,7.7,1.08,0,0,0,99,169
WELD_D12_L2_A040,D12,L2,A040,65.2,1463,1348,24,6.53,0.35,0,0,0,77,174
WELD_D12_L2_A050,D12,L2,A050,76.2,1553,1145,8,8.43,1.99,0,0,0,72,124
WELD_D12_L2_A130,D12,L2,A130,72.8,1548,1114,29,6.38,0.58,0,0,0,76,145
WELD_D12_L2_A140,D12,L2,A140,72.1,1576,1222,46,6.6,0.46,0,0,0,74,140
WELD_D12_L2_A150,D12,L2,A150,89.9,1543,1519,0,12.35,3.04,0,0,0,93,175
WELD_D12_L2_A160,D12,L2,A160,74.3,1475,1522,0,9.91,3.17,0,0,0,144,190
WELD_D12_L2_A170,D12,L2,A170,78.7,1593,1400,0,10.09,3.3,0,0,0,124,179
