조건,전체점,시편점,시편비율,전체범위mm,시편범위mm,A_용접선IoU,A_argmax,A_편차,B_용접선IoU,B_argmax,B_편차
WELD_D04_L1_A000,197661,37063,18.75,2068x880x1308,304x154x78,0.0,0,266.02,0.0,0,55.77
WELD_D04_L1_A010,197725,36856,18.64,2036x888x1291,317x187x129,0.0,143,138.21,0.0,0,60.47
WELD_D04_L1_A020,196977,37726,19.15,2037x885x1319,316x209x144,0.0,14,135.68,0.0,0,47.15
WELD_D04_L1_A030,196905,32498,16.5,2057x888x1333,306x246x191,0.0,0,66.48,0.0,0,59.28
WELD_D04_L1_A040,196149,31725,16.17,2080x887x1325,284x267x221,0.0,0,,0.0,1,53.91
WELD_D04_L1_A050,196226,28327,14.44,2063x883x1320,261x282x241,0.0,0,75.93,0.0,0,52.36
WELD_D04_L1_A130,197268,33058,16.76,2052x883x1324,280x283x221,0.0,0,,0.0,57,87.33
WELD_D04_L1_A140,197303,34783,17.63,2057x885x1313,302x270x260,0.0,0,,0.0,3,83.14
WELD_D04_L1_A150,197432,33278,16.86,2041x881x1329,311x262x227,0.0,0,,0.0,8,92.63
WELD_D04_L1_A160,197402,35222,17.84,2056x885x1318,323x224x133,0.0,0,59.15,0.0,0,40.14
WELD_D04_L1_A170,197600,37085,18.77,2056x878x1311,320x202x104,0.0,0,67.06,0.0,0,55.55
WELD_D04_L2_A000,195687,36637,18.72,2040x877x1340,306x152x90,0.0,118,645.76,0.0,0,49.68
WELD_D04_L2_A010,195298,36295,18.58,2037x878x1323,316x185x129,0.0,19,152.73,0.0,5,49.91
WELD_D04_L2_A020,194502,37244,19.15,2029x871x1320,318x209x155,0.0,0,85.13,0.0,1,39.25
WELD_D04_L2_A030,194283,32127,16.54,2025x872x1315,310x244x197,0.0,0,60.06,0.0,0,42.41
WELD_D04_L2_A040,193985,31932,16.46,2020x874x1300,290x265x225,0.0,0,55.97,0.0,0,48.35
WELD_D04_L2_A050,193310,28162,14.57,2034x871x1309,270x280x253,0.0,0,41.93,0.0,10,23.07
WELD_D04_L2_A130,194603,32369,16.63,2042x878x1307,282x280x257,0.0,5,,0.0,2,65.19
WELD_D04_L2_A140,195253,34859,17.85,2040x884x1317,300x264x199,0.0,0,85.1,0.0,0,45.11
WELD_D04_L2_A150,194947,33037,16.95,2052x879x1310,306x262x188,0.0,0,80.82,0.0,18,49.32
WELD_D04_L2_A160,195321,35364,18.11,2046x878x1317,322x224x135,0.0,0,102.77,0.0,0,46.55
WELD_D04_L2_A170,195265,36534,18.71,2040x878x1327,321x201x106,0.0,0,207.66,0.0,0,62.22
WELD_D08_L1_A000,194693,8260,4.24,2958x2317x2608,301x149x74,0.0,4,,0.0,0,
WELD_D08_L1_A010,194690,7856,4.04,2895x2516x2853,311x170x117,0.0,0,,0.0,0,43.6
WELD_D08_L1_A020,194848,7864,4.04,2899x2414x2997,319x201x142,0.0,260,,0.0,0,50.1
WELD_D08_L1_A030,194811,7591,3.9,2816x2414x2755,318x223x163,0.0,22,,0.0,0,40.63
WELD_D08_L1_A040,194850,7156,3.67,2936x2454x2703,302x253x196,0.0,0,,0.0,0,
WELD_D08_L1_A050,194703,7000,3.6,2865x2303x2510,281x273x233,0.0,7,,0.0,0,149.32
WELD_D08_L1_A130,194824,7303,3.75,2916x2328x2738,270x286x223,0.0,0,,0.0,35,
WELD_D08_L1_A140,194687,7630,3.92,2876x2258x2594,301x268x186,0.0,0,,0.0,6,56.66
WELD_D08_L1_A150,194836,7649,3.93,2866x2347x2608,311x258x173,0.0,0,,0.0,4,
WELD_D08_L1_A160,194780,8305,4.26,2896x2394x2755,319x223x126,0.0,70,,0.0,0,58.63
WELD_D08_L1_A170,194829,8128,4.17,2859x2566x2928,316x199x100,0.0,3,,0.0,0,42.22
WELD_D08_L2_A000,193007,7662,3.97,2872x2154x2331,305x150x83,0.0,0,,0.0,0,
WELD_D08_L2_A010,192979,7812,4.05,2872x2156x2317,312x175x113,0.0,0,,0.0,0,
WELD_D08_L2_A020,193146,7525,3.9,2842x2158x2341,319x191x140,0.0,0,,0.0,0,
WELD_D08_L2_A030,193119,7517,3.89,2883x2118x2338,313x216x171,0.0,0,,0.0,0,40.93
WELD_D08_L2_A040,193207,7117,3.68,2856x2112x2331,323x255x202,0.0,5,,0.0,0,
WELD_D08_L2_A050,192782,7047,3.66,2833x2138x2313,277x270x222,0.0,0,,0.0,5,78.1
WELD_D08_L2_A130,193138,6988,3.62,2854x2183x2352,291x281x222,0.0,0,,0.0,3,
WELD_D08_L2_A140,192975,7759,4.02,2842x2141x2335,304x270x196,0.0,27,,0.0,25,60.44
WELD_D08_L2_A150,193161,7587,3.93,2856x2119x2326,309x256x169,0.0,15,,0.0,3,75.57
WELD_D08_L2_A160,193137,8227,4.26,2850x2137x2347,321x216x123,0.0,0,,0.0,0,67.33
